,Geography,Gender,Balance,CreditScore,Age,NumOfProducts,EstimatedSalary,Exited
1,France,Female,0,6.428105273,3.737669618,0,101348.88,1
2,Spain,Female,83807.86,6.410174882,3.713572067,0,112542.58,0
3,France,Female,159660.8,6.21860012,3.737669618,0.693147181,113931.57,1
4,France,Female,0,6.549650742,3.663561646,0.693147181,93826.63,0
5,Spain,Female,125510.82,6.69950034,3.761200116,0,79084.1,0
6,Spain,Male,113755.78,6.469250317,3.784189634,0.693147181,149756.71,1
7,France,Male,0,6.69950034,3.912023005,0.693147181,10062.8,0
8,Germany,Female,115046.74,6.192362489,3.36729583,0.693147181,119346.88,1
9,France,Male,142051.07,6.216606101,3.784189634,0.693147181,74940.5,0
10,France,Male,134603.88,6.527957918,3.295836866,0,71725.73,0
11,France,Male,102016.72,6.269096284,3.433987204,0.693147181,80181.12,0
12,Spain,Male,0,6.208590026,3.218875825,0.693147181,76390.01,0
13,France,Female,0,6.192362489,3.526360525,0.693147181,26260.98,0
14,France,Female,0,6.308098442,3.218875825,0.693147181,190857.79,0
15,Spain,Female,0,6.453624999,3.555348061,0.693147181,65951.65,0
16,Germany,Male,143129.41,6.423246964,3.80666249,0.693147181,64327.26,0
17,Germany,Male,132602.88,6.481577129,4.060443011,0,5097.67,1
18,Spain,Female,0,6.308098442,3.218875825,0.693147181,14406.41,0
19,Spain,Male,0,6.37502482,3.80666249,0,158684.81,0
20,France,Female,0,6.587550015,3.218875825,0.693147181,54724.03,0
21,France,Male,0,6.595780514,3.713572067,0.693147181,170886.17,0
22,Spain,Female,0,6.455198563,3.465735903,0.693147181,138555.46,0
23,Spain,Female,0,6.234410726,3.63758616,0,118913.53,1
24,France,Male,0,6.50578406,3.828641396,0.693147181,8487.75,0
25,France,Female,0,6.69950034,3.63758616,0,187616.16,0
26,France,Male,0,6.357842267,3.218875825,0.693147181,124508.29,0
27,Germany,Male,136815.64,6.628041376,3.583518938,0,170041.95,0
28,France,Male,0,6.34738921,3.784189634,0.693147181,38433.35,0
29,Germany,Female,141349.43,6.352629396,3.761200116,0,100187.43,0
30,France,Male,59697.17,6.192362489,3.36729583,0.693147181,53483.21,0
31,Spain,Female,0,6.381816017,3.663561646,0.693147181,140469.38,1
32,France,Male,85311.7,6.278521424,3.583518938,0,156731.91,0
33,Germany,Male,110112.54,6.315358002,3.713572067,0.693147181,81898.81,0
34,Spain,Female,0,6.253828812,3.737669618,0.693147181,34410.55,0
35,Spain,Female,0,6.582025139,3.36729583,0.693147181,142033.07,0
36,France,Female,134264.04,6.192362489,3.80666249,0,27822.99,1
37,Spain,Male,145260.23,6.194405391,3.433987204,0,114066.77,0
38,Spain,Male,76548.6,6.689599269,3.496507561,0,98453.45,0
39,France,Male,0,6.69950034,3.583518938,0,40812.9,0
40,Germany,Male,70349.48,6.366470448,3.713572067,0.693147181,178074.04,0
41,Spain,Male,0,6.192362489,3.688879454,0,70154.22,0
42,France,Female,122522.32,6.192362489,3.931825633,0,181297.65,1
43,France,Female,117419.35,6.320768294,4.094344562,0,94153.83,0
44,France,Female,131394.56,6.69950034,3.891820298,0,194365.76,1
45,Spain,Female,155931.11,6.492239835,4.094344562,0,158338.39,0
46,Germany,Female,109421.13,6.65415252,3.465735903,0.693147181,126517.46,0
47,Germany,Female,112045.67,6.69950034,3.295836866,0,119708.21,1
48,Germany,Female,137843.8,6.456769656,3.663561646,0,117622.8,1
49,Germany,Male,103391.38,6.309918278,3.63758616,0,90878.13,0
50,Germany,Female,103769.22,6.65415252,3.610917913,0.693147181,194099.12,0
51,Germany,Male,116363.37,6.548219103,3.784189634,0.693147181,198059.16,0
52,Germany,Male,146050.97,6.371611847,3.583518938,0.693147181,86424.57,0
53,France,Female,0,6.66949809,3.496507561,0.693147181,116978.19,0
54,Germany,Male,125561.97,6.484635236,3.713572067,0,164040.94,1
55,Germany,Male,98495.72,6.398594935,3.737669618,0,40014.76,1
56,France,Male,125211.92,6.428105273,3.761200116,0,113410.49,0
57,France,Male,127864.4,6.486160789,3.80666249,0,87107.57,0
